Manchester City;50;England;2.20
Bayern Munich;157;Germany;1.92
Chelsea;49;England;1.61
Liverpool;40;England;1.52
Real Madrid;541;Spain;1.46
Paris Saint Germain;85;France;1.18
Manchester United;33;England;0.93
Juventus;496;Italy;0.84
Barcelona;529;Spain;0.75
AS Roma;497;Italy;0.72
Inter;505;Italy;0.69
Sevilla;536;Spain;0.53
Ajax;194;Netherlands;0.47
Borussia Dortmund;165;Germany;0.38
Atletico Madrid;530;Spain;0.35
RB Leipzig;173;Germany;0.31
Benfica;211;Portugal;0.25
Villarreal;533;Spain;0.25
Napoli;492;Italy;0.22
FC Porto;212;Portugal;0.22
Tottenham;47;England;0.19
Eintracht Frankfurt;169;Germany;0.10
Arsenal;42;England;0.07
Bayer Leverkusen;168;Germany;-0.06
Shakhtar Donetsk;550;Ukraine;-0.33
Lyon;80;France;-0.40
Red Bull Salzburg;571;Austria;-0.46
Atalanta;499;Italy;-0.57
Dinamo Zagreb;620;Croatia;-0.58
Club Brugge KV;569;Belgium;-0.61
Rangers;257;Scotland;-0.61
FC Basel 1893;551;Switzerland;-0.64
Sporting CP;228;Portugal;-0.66
Slavia Praha;560;Czech-Republic;-0.67
Feyenoord;209;Netherlands;-0.71
West Ham;48;England;-0.74
AC Milan;489;Italy;-0.74
AZ Alkmaar;201;Netherlands;-0.81
Rennes;94;France;-0.92
Sporting CP;228;Portugal;-0.92
PSV Eindhoven;197;Netherlands;-0.95
Lazio;487;Italy;-0.98
FK Crvena Zvezda;598;Serbia;-0.98
FC Copenhagen;400;Denmark;-1.03
Valencia;532;Spain;-1.05
Olympiakos Piraeus;553;Greece;-1.08
Gent;631;Belgium;-1.12
Real Betis;543;Spain;-1.14
Lask Linz;1026;Austria;-1.17
Dynamo Kyiv;572;Ukraine;-1.20
